indicator_id,scale_available,has_national_sibling,sibling_id,summability_verdict,aggregator_rule,notes
alumnos_hombres_prov,province,true,pob_urbana_nat,national_sibling,use national-scale series directly,unit='pupils'; fmt=count; fam=None; pcd=user_choice
alumnos_mujeres_prov,province,true,pob_urbana_nat,national_sibling,use national-scale series directly,unit='pupils'; fmt=count; fam=None; pcd=user_choice
alumnos_total_prov,province,true,pob_urbana_nat,national_sibling,use national-scale series directly,unit='pupils'; fmt=count; fam=None; pcd=user_choice
bank_offices_prov,province,true,pob_urbana_nat,national_sibling,use national-scale series directly,unit='offices'; fmt=count; fam=None; pcd=default_raw
bankruptcies_prov,province,true,pob_urbana_nat,national_sibling,use national-scale series directly,unit='bankruptcies'; fmt=count; fam=None; pcd=default_raw
bautismos_1865_dept,department,true,pob_urbana_nat,national_sibling,use national-scale series directly,unit='baptisms'; fmt=count; fam=None; pcd=default_raw
bautismos_dept,department,true,pob_urbana_nat,national_sibling,use national-scale series directly,unit='baptisms'; fmt=count; fam=None; pcd=default_raw
calificados_1869_dept,department,true,pob_urbana_nat,national_sibling,use national-scale series directly,unit='voters'; fmt=count; fam=None; pcd=default_raw
carceles_entrados_1869_prov,province,true,pob_urbana_nat,national_sibling,use national-scale series directly,unit='prisoners'; fmt=count; fam=None; pcd=default_raw
casados_1854_prov,province,true,pob_urbana_nat,national_sibling,use national-scale series directly,unit='persons'; fmt=count; fam=None; pcd=default_raw
correos_cartas_dept,department,true,pob_urbana_nat,national_sibling,use national-scale series directly,unit='letters'; fmt=count; fam=None; pcd=default_raw
correos_impresos_dept,department,true,pob_urbana_nat,national_sibling,use national-scale series directly,unit='items'; fmt=count; fam=None; pcd=default_raw
court_cases_filed_prov,province,true,pob_urbana_nat,national_sibling,use national-scale series directly,unit='cases'; fmt=count; fam=None; pcd=default_raw
crimenes_1859_prov,province,true,pob_urbana_nat,national_sibling,use national-scale series directly,unit='crimes'; fmt=count; fam=None; pcd=default_raw
