year,geographic_unit,geographic_level,dcode,pcode,ccode,variable,value,source_document,source_page,source_table,source_sheet,notes,quality_flag
1846,Chile,national,,,,external_taxes_share_of_revenue,57.4812,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1847,Chile,national,,,,external_taxes_share_of_revenue,56.7171,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1848,Chile,national,,,,external_taxes_share_of_revenue,54.7157,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1849,Chile,national,,,,external_taxes_share_of_revenue,57.6422,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1850,Chile,national,,,,external_taxes_share_of_revenue,60.6763,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1851,Chile,national,,,,external_taxes_share_of_revenue,61.7134,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1852,Chile,national,,,,external_taxes_share_of_revenue,63.2951,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1859,Chile,national,,,,external_taxes_share_of_revenue,63.0661,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1860,Chile,national,,,,external_taxes_share_of_revenue,64.3757,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1868,Chile,national,,,,external_taxes_share_of_revenue,56.4458,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1869,Chile,national,,,,external_taxes_share_of_revenue,55.9541,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1874,Chile,national,,,,external_taxes_share_of_revenue,49.2099,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1875,Chile,national,,,,external_taxes_share_of_revenue,47.893,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1878,Chile,national,,,,external_taxes_share_of_revenue,44.1021,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1879,Chile,national,,,,external_taxes_share_of_revenue,44.4581,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1887,Chile,national,,,,external_taxes_share_of_revenue,36.4742,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1888,Chile,national,,,,external_taxes_share_of_revenue,38.8134,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_customs_pesos,revenue_total_ordinary_pesos]",reconstructed
1846,Chile,national,,,,direct_taxes_share_of_revenue,2.0008,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1847,Chile,national,,,,direct_taxes_share_of_revenue,1.9294,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1848,Chile,national,,,,direct_taxes_share_of_revenue,2.0172,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1849,Chile,national,,,,direct_taxes_share_of_revenue,1.7736,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1850,Chile,national,,,,direct_taxes_share_of_revenue,1.6522,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1851,Chile,national,,,,direct_taxes_share_of_revenue,1.6176,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1852,Chile,national,,,,direct_taxes_share_of_revenue,1.8015,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1859,Chile,national,,,,direct_taxes_share_of_revenue,10.0949,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1860,Chile,national,,,,direct_taxes_share_of_revenue,9.5592,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1868,Chile,national,,,,direct_taxes_share_of_revenue,6.111,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1869,Chile,national,,,,direct_taxes_share_of_revenue,5.6466,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1874,Chile,national,,,,direct_taxes_share_of_revenue,3.9477,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1875,Chile,national,,,,direct_taxes_share_of_revenue,6.2363,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1878,Chile,national,,,,direct_taxes_share_of_revenue,7.3725,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1879,Chile,national,,,,direct_taxes_share_of_revenue,8.1777,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1887,Chile,national,,,,direct_taxes_share_of_revenue,3.7491,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1888,Chile,national,,,,direct_taxes_share_of_revenue,3.6223,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_direct_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1846,Chile,national,,,,indirect_taxes_share_of_revenue,25.2047,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_indirect_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1847,Chile,national,,,,indirect_taxes_share_of_revenue,25.4363,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_indirect_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1848,Chile,national,,,,indirect_taxes_share_of_revenue,26.5441,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_indirect_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1849,Chile,national,,,,indirect_taxes_share_of_revenue,24.1035,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_indirect_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1850,Chile,national,,,,indirect_taxes_share_of_revenue,22.1118,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_indirect_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1851,Chile,national,,,,indirect_taxes_share_of_revenue,21.824,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_indirect_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1852,Chile,national,,,,indirect_taxes_share_of_revenue,20.1211,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_indirect_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
1859,Chile,national,,,,indirect_taxes_share_of_revenue,21.0423,Curation-15 reconstruction (Historical Atlas of Chile),,,,"[reconstructed=curation15;inputs=revenue_indirect_taxes_pesos,revenue_total_ordinary_pesos]",reconstructed
