"source_document_key","canonical_citation","in_published_registry","n_rows_curated"
"Aldana 1914 Resumen Hacienda Publica Chile 1833-1914","Aldana, Abelardo. 1914. Resumen de la Hacienda Pública de Chile, 1833–1914. Santiago: Imprenta Universitaria.","yes","1034"
"Aldana 1914. Resumen de la Hacienda Pública de Chile 1833-1914","Aldana, Abelardo. 1914. Resumen de la Hacienda Pública de Chile, 1833–1914. Santiago: Imprenta Universitaria.","yes","935"
"Aldana, Abelardo. 1914. Resumen Hacienda Publica Chile 1833-1914","Aldana, Abelardo. 1914. Resumen de la Hacienda Pública de Chile, 1833–1914. Santiago: Imprenta Universitaria.","yes","279"
"Anuario Estadistico - Chile 1860-1872","Oficina Central de Estadística. 1860–1872. Anuario Estadístico de la República de Chile, Tomos I–XIII. Santiago: Imprenta Nacional. (2012 reissue: Instituto Nacional de Estadísticas.)","yes","1373"
"Anuario Estadistico - Chile 1862","Oficina Central de Estadística. 1863. Anuario Estadístico de la República de Chile, año 1862 (Tomo III). Santiago: Imprenta Nacional.","yes","52"
"Anuario Estadistico - Chile 1862 (Entrega Quinta)","Oficina Central de Estadística. 1863. Anuario Estadístico de la República de Chile, año 1862, Entrega Quinta. Santiago: Imprenta Nacional.","yes","88"
"Anuario Estadistico - Chile 1871.pdf","Oficina Central de Estadística. 1872. Anuario Estadístico de la República de Chile, año 1871. Santiago: Imprenta Nacional.","yes","827"
"Anuario Estadistico - Chile 1909.pdf","Oficina Central de Estadística. 1910. Anuario Estadístico de la República de Chile, año 1909. Santiago: Sociedad Imprenta y Litografía Universo.","yes","1911"
"Anuario Estadistico - Chile 1917 Vol III","Oficina Central de Estadística. 1918. Anuario Estadístico de la República de Chile, año 1917, Vol. III. Santiago: Imprenta Nacional.","yes","125"
"Anuario Estadistico - Chile 1935.pdf","Dirección General de Estadística. 1936. Anuario Estadístico de Chile, año 1935. Santiago.","yes","258"
"Anuario Estadistico Chile 1917 Vol III","Oficina Central de Estadística. 1918. Anuario Estadístico de la República de Chile, año 1917, Vol. III. Santiago: Imprenta Nacional.","yes","79"
"Anuario Estadistico Tomo XI (1870-71)","Oficina Central de Estadística. 1872. Anuario Estadístico de la República de Chile, Tomo XI, años 1870–1871. Santiago: Imprenta Nacional.","yes","100"
